Review Title,Up Votes,Down Votes,Review text,Ratings,clean_review,sentiment
Nice product,889.0,64.0,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4,nice product good quality price rising bad sign affordable price especially play everyday kindly help us terms price thank youread,Positive
Don't waste your money,109.0,6.0,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1,didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear thisread,Negative
Did not meet expectations,42.0,3.0,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1,worst product damaged shuttlecocks packed new box original yonex product dont buyflipkart platform chosen fraud buyersread,Negative
Fair,25.0,1.0,"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",3,quite k nowadays quality corks like years back using mavis years quality corks good times getting quality corks like rate corks also much sorry say like experience statment true knowledgeread,Neutral
Over priced,147.0,24.0,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1,pricedjust retaileri didnt understand wat advantage buying dis frm flipkrtread,Negative
Mind-blowing purchase,173.0,45.0,Good quality product. Delivered on time.READ MORE,5,good quality product delivered timeread,Positive
Must buy!,403.0,121.0,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5,best purchase good quality durable average shuttle shipping goodread,Positive
Classy product,59.0,13.0,Good quality original shuttles.READ MORE,5,good quality original shuttlesread,Positive
Great product,14.0,1.0,AwesomeREAD MORE,5,awesomeread,Positive
Just wow!,50.0,12.0,nice original productsREAD MORE,5,nice original productsread,Positive
Just wow!,57.0,16.0,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5,green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved itread,Positive
Terrific purchase,146.0,52.0,Best in class....READ MORE,5,best classread,Positive
Worth every penny,142.0,53.0,it's genuine and price is less than our near by shopREAD MORE,5,genuine price less near shopread,Positive
Did not meet expectations,22.0,5.0,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1,second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gonna return productread,Negative
Worth every penny,23.0,6.0,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5,really satisfied quality prompt deliveryhappy customer flipkart read,Positive
Brilliant,71.0,29.0,NycREAD MORE,5,nycread,Positive
I think it is duplicate,81.0,35.0,I usually buy them the same model but this did not last even for a dayREAD MORE,1,usually buy model last even dayread,Negative
Slightly disappointed,5.0,0.0,"Poor quality, not originalREAD MORE",2,poor quality originalread,Negative
Super!,12.0,1.0,Delivered on expected timeREAD MORE,5,delivered expected timeread,Positive
Awesome,14.0,3.0,nice and original productREAD MORE,5,nice original productread,Positive
Awesome,30.0,10.0,Very nice and Good price compare then local sports.READ MORE,5,nice good price compare local sportsread,Positive
Highly recommended,11.0,1.0,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5,perfect go yonex never disappoint pros feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glides around balanced base durability seems go fine issues intermediate players using one shuttle since days cons slightly higher range use lbs bg racquet pread,Positive
